# time  ID  size  fromHost  toHost  TTL  isResponse
13917.0000 M256 590287 Sat24 Sat68 300 N 
13917.0000 M257 628836 Sat35 Beijing0 300 N 
13917.0000 M258 699504 Sat35 Kashi1 300 N 
13917.0000 M259 883837 Sat35 Sanya2 300 N 
13917.0000 M260 828271 Sat35 Sat13 300 N 
13917.0000 M261 762094 Sat35 Sat24 300 N 
13917.0000 M262 942250 Sat35 Sat46 300 N 
13917.0000 M263 716229 Sat35 Sat57 300 N 
13917.0000 M264 935199 Sat35 Sat68 300 N 
13917.0000 M265 922010 Sat46 Beijing0 300 N 
13917.0000 M266 721262 Sat46 Kashi1 300 N 
13917.0000 M267 540182 Sat46 Sanya2 300 N 
13917.0000 M268 860233 Sat46 Sat13 300 N 
13917.0000 M269 649807 Sat46 Sat24 300 N 
13917.0000 M270 724219 Sat46 Sat35 300 N 
13917.0000 M271 647683 Sat46 Sat57 300 N 
13917.0000 M272 549614 Sat46 Sat68 300 N 
13917.0000 M273 580609 Sat57 Beijing0 300 N 
13917.0000 M274 683537 Sat57 Kashi1 300 N 
13917.0000 M275 862524 Sat57 Sanya2 300 N 
13917.0000 M276 975299 Sat57 Sat13 300 N 
13917.0000 M277 766484 Sat57 Sat24 300 N 
13917.0000 M278 716388 Sat57 Sat35 300 N 
13917.0000 M279 507924 Sat57 Sat46 300 N 
13917.0000 M280 990133 Sat57 Sat68 300 N 
13917.0000 M281 769870 Sat68 Beijing0 300 N 
13917.0000 M282 673483 Sat68 Kashi1 300 N 
13917.0000 M283 757453 Sat68 Sanya2 300 N 
13917.0000 M284 566893 Sat68 Sat13 300 N 
13917.0000 M285 625366 Sat68 Sat24 300 N 
13917.0000 M286 871415 Sat68 Sat35 300 N 
13917.0000 M287 522530 Sat68 Sat46 300 N 
13917.0000 M288 567791 Sat68 Sat57 300 N 
18468.0000 M289 914657 Beijing0 Kashi1 300 N 
18468.0000 M290 736881 Beijing0 Sanya2 300 N 
18468.0000 M291 925916 Beijing0 Sat13 300 N 
18468.0000 M292 766315 Beijing0 Sat24 300 N 
18468.0000 M293 717660 Beijing0 Sat35 300 N 
18468.0000 M294 632900 Beijing0 Sat46 300 N 
18468.0000 M295 916248 Beijing0 Sat57 300 N 
18468.0000 M296 838158 Beijing0 Sat68 300 N 
18468.0000 M297 833066 Kashi1 Beijing0 300 N 
18468.0000 M298 886747 Kashi1 Sanya2 300 N 
18468.0000 M299 765606 Kashi1 Sat13 300 N 
18468.0000 M300 892737 Kashi1 Sat24 300 N 
18468.0000 M301 824523 Kashi1 Sat35 300 N 
18468.0000 M302 511671 Kashi1 Sat46 300 N 
18468.0000 M303 580783 Kashi1 Sat57 300 N 
18468.0000 M304 598670 Kashi1 Sat68 300 N 
18468.0000 M305 627279 Sanya2 Beijing0 300 N 
18468.0000 M306 953285 Sanya2 Kashi1 300 N 
18468.0000 M307 957377 Sanya2 Sat13 300 N 
18468.0000 M308 861599 Sanya2 Sat24 300 N 
18468.0000 M309 854445 Sanya2 Sat35 300 N 
18468.0000 M310 917477 Sanya2 Sat46 300 N 
18468.0000 M311 579028 Sanya2 Sat57 300 N 
18468.0000 M312 884910 Sanya2 Sat68 300 N 
18468.0000 M313 877580 Sat13 Beijing0 300 N 
18468.0000 M314 961462 Sat13 Kashi1 300 N 
18468.0000 M315 731176 Sat13 Sanya2 300 N 
18468.0000 M316 626408 Sat13 Sat24 300 N 
18468.0000 M317 732638 Sat13 Sat35 300 N 
18468.0000 M318 742143 Sat13 Sat46 300 N 
18468.0000 M319 987978 Sat13 Sat57 300 N 
18468.0000 M320 660867 Sat13 Sat68 300 N 
18468.0000 M321 563085 Sat24 Beijing0 300 N 
18468.0000 M322 944285 Sat24 Kashi1 300 N 
18468.0000 M323 711477 Sat24 Sanya2 300 N 
18468.0000 M324 985912 Sat24 Sat13 300 N 
18468.0000 M325 591502 Sat24 Sat35 300 N 
18468.0000 M326 960516 Sat24 Sat46 300 N 
18468.0000 M327 623765 Sat24 Sat57 300 N 
18468.0000 M328 619743 Sat24 Sat68 300 N 
18468.0000 M329 752050 Sat35 Beijing0 300 N 
18468.0000 M330 852404 Sat35 Kashi1 300 N 
18468.0000 M331 577575 Sat35 Sanya2 300 N 
18468.0000 M332 745447 Sat35 Sat13 300 N 
18468.0000 M333 789306 Sat35 Sat24 300 N 
18468.0000 M334 940506 Sat35 Sat46 300 N 
18468.0000 M335 950749 Sat35 Sat57 300 N 
18468.0000 M336 821486 Sat35 Sat68 300 N 
18468.0000 M337 922507 Sat46 Beijing0 300 N 
18468.0000 M338 551391 Sat46 Kashi1 300 N 
18468.0000 M339 985022 Sat46 Sanya2 300 N 
18468.0000 M340 667043 Sat46 Sat13 300 N 
18468.0000 M341 924343 Sat46 Sat24 300 N 
18468.0000 M342 987409 Sat46 Sat35 300 N 
18468.0000 M343 870121 Sat46 Sat57 300 N 
18468.0000 M344 990325 Sat46 Sat68 300 N 
18468.0000 M345 876859 Sat57 Beijing0 300 N 
18468.0000 M346 857260 Sat57 Kashi1 300 N 
18468.0000 M347 507417 Sat57 Sanya2 300 N 
18468.0000 M348 607095 Sat57 Sat13 300 N 
18468.0000 M349 969448 Sat57 Sat24 300 N 
18468.0000 M350 936709 Sat57 Sat35 300 N 
18468.0000 M351 502436 Sat57 Sat46 300 N 
18468.0000 M352 616020 Sat57 Sat68 300 N 
18468.0000 M353 558296 Sat68 Beijing0 300 N 
18468.0000 M354 827347 Sat68 Kashi1 300 N 
18468.0000 M355 838494 Sat68 Sanya2 300 N 
18468.0000 M356 663625 Sat68 Sat13 300 N 
18468.0000 M357 902498 Sat68 Sat24 300 N 
18468.0000 M358 853946 Sat68 Sat35 300 N 
18468.0000 M359 623996 Sat68 Sat46 300 N 
18468.0000 M360 920835 Sat68 Sat57 300 N 
21525.0000 M361 707989 Beijing0 Kashi1 300 N 
21525.0000 M362 837938 Beijing0 Sanya2 300 N 
21525.0000 M363 799189 Beijing0 Sat13 300 N 
21525.0000 M364 571438 Beijing0 Sat24 300 N 
21525.0000 M365 722463 Beijing0 Sat35 300 N 
21525.0000 M366 719389 Beijing0 Sat46 300 N 
21525.0000 M367 592981 Beijing0 Sat57 300 N 
21525.0000 M368 786886 Beijing0 Sat68 300 N 
21525.0000 M369 850687 Kashi1 Beijing0 300 N 
21525.0000 M370 993756 Kashi1 Sanya2 300 N 
21525.0000 M371 655764 Kashi1 Sat13 300 N 
21525.0000 M372 919015 Kashi1 Sat24 300 N 
21525.0000 M373 663342 Kashi1 Sat35 300 N 
21525.0000 M374 895577 Kashi1 Sat46 300 N 
21525.0000 M375 563385 Kashi1 Sat57 300 N 
21525.0000 M376 561596 Kashi1 Sat68 300 N 
21525.0000 M377 822565 Sanya2 Beijing0 300 N 
21525.0000 M378 866374 Sanya2 Kashi1 300 N 
21525.0000 M379 821242 Sanya2 Sat13 300 N 
21525.0000 M380 962423 Sanya2 Sat24 300 N 
21525.0000 M381 802760 Sanya2 Sat35 300 N 
21525.0000 M382 926435 Sanya2 Sat46 300 N 
21525.0000 M383 595414 Sanya2 Sat57 300 N 
21525.0000 M384 811974 Sanya2 Sat68 300 N 
21525.0000 M385 507241 Sat13 Beijing0 300 N 
21525.0000 M386 871931 Sat13 Kashi1 300 N 
21525.0000 M387 727857 Sat13 Sanya2 300 N 
21525.0000 M388 599742 Sat13 Sat24 300 N 
21525.0000 M389 765178 Sat13 Sat35 300 N 
21525.0000 M390 899694 Sat13 Sat46 300 N 
21525.0000 M391 954668 Sat13 Sat57 300 N 
21525.0000 M392 568660 Sat13 Sat68 300 N 
21525.0000 M393 900307 Sat24 Beijing0 300 N 
21525.0000 M394 746890 Sat24 Kashi1 300 N 
21525.0000 M395 971584 Sat24 Sanya2 300 N 
21525.0000 M396 763147 Sat24 Sat13 300 N 
21525.0000 M397 737532 Sat24 Sat35 300 N 
21525.0000 M398 846482 Sat24 Sat46 300 N 
21525.0000 M399 827479 Sat24 Sat57 300 N 
21525.0000 M400 655847 Sat24 Sat68 300 N 
21525.0000 M401 662263 Sat35 Beijing0 300 N 
21525.0000 M402 846401 Sat35 Kashi1 300 N 
21525.0000 M403 825032 Sat35 Sanya2 300 N 
21525.0000 M404 996832 Sat35 Sat13 300 N 
21525.0000 M405 906766 Sat35 Sat24 300 N 
21525.0000 M406 798087 Sat35 Sat46 300 N 
21525.0000 M407 602605 Sat35 Sat57 300 N 
21525.0000 M408 912498 Sat35 Sat68 300 N 
